crop,season,avg_yield,avg_extent,yield_cv,n_years,is_annual_only,yield_trend_per_year,crop_group,avg_yield_z,avg_extent_z,yield_trend_per_year_z,stability_z,suitability_score
Banana,Maha,19.039255233626566,44260.444444444445,0.3221429614819572,9,True,0.9911502165580223,fruits,1.2143236318506194,2.604063264048327,1.6013299979680171,-0.36846257265758386,1.4017418824472956
Manioc,Maha,14.690666666666667,12158.0,0.10133807974908499,9,False,0.3302666666666668,ofc,1.7305115039231942,-0.22766491036654377,2.2434180946884705,0.40672081741541866,1.1449801155276487
Cabbage,Maha,25.6,2322.8888888888887,0.07576639875416925,9,False,0.007833333333333326,vegetables,2.3777871238506147,-0.08067120556471868,-0.09846578231008837,0.5721889309404299,0.9970822313281131
Paddy (rice),Maha,4.072888888888889,736820.7777777778,0.144929981762773,9,False,-0.13545000000000001,ofc,-0.26176775685219256,3.9848358231395937,-0.7544243440922169,0.2698905800212518,0.7811005712287657
Papaw,Maha,16.536528135207554,6156.555555555556,0.2616957856025202,9,True,1.1597112206554536,fruits,0.9163012012813692,-0.32377388309917127,1.9124109398590636,0.0010210924356592686,0.6682123615749166
Raddish,Maha,19.23,1512.2222222222222,0.21901258056122963,9,False,1.0835000000000001,vegetables,1.0320219482972754,-0.6284006381914456,2.6568889470545907,-0.8071809502644923,0.6660092666422931
Carrot,Maha,21.982222222222223,2030.4444444444443,0.07793623940147226,9,False,0.059833333333333245,vegetables,1.6134732547416537,-0.2782621960627375,0.03473388852377877,0.5512947416632925,0.6654647418352267
Sweet potato,Maha,10.785333333333334,2228.6666666666665,0.07818133117685815,9,False,0.1873,ofc,0.997729676194717,-0.285384618391509,1.3231342153676835,0.47940733160835053,0.6642836586947988
Melon,Maha,28.274465763045395,1126.566,0.19590659655806503,5,True,-0.32195349377455984,fruits,2.3140439691318098,-0.7102696109621057,-0.8220154323592581,0.40315783973615116,0.6441207744007685
Red onion,Maha,14.309666666666667,2202.777777777778,0.051107884394330005,9,False,-0.0546333333333333,ofc,1.6590221193983008,-0.28553511178896007,-0.2342032516666521,0.5643879353261799,0.6300426097776769
