district,total_cultivated_extent_ha,avg_cropping_intensity,n_schemes,data_year
Ampara,114081,1.8377777777777777,9,2024
Anuradhapura,44451,2.0,8,2024
Badulla,13904,2.0,8,2024
Batticaloa,45606,1.95,5,2024
Colombo,3186,1.1600000000000001,4,2024
Hambantota,44452,1.9329999999999998,10,2024
Kandy,5293,2.0,3,2024
Kurunegala,24803,1.7757142857142856,7,2024
Matara,5952,0.9120000000000001,5,2024
Monaragala,6994,1.9175,4,2024
Polonnaruwa,72278,1.9939999999999998,5,2024
Puttalam,5003,1.3333333333333333,3,2024
Trincomalee,41385,2.0,5,2024
Vavuniya,19877,1.23,3,2024
